x,y,z,vx,vy,vz,mass
-3.148541124626725e+01,9.228659530502407e+00,2.699243209298525e+01,-4.365340903381046e-01,2.368848192078568e-01,-7.847549286199497e-02,1.633123660289274e+00
-1.136851540061771e+01,-4.859890745811418e+01,-1.901235269358644e+01,-4.909488670430727e-01,2.093263072768109e-01,1.873512052647140e-01,1.909516425295508e+00
4.057625973455946e+01,1.958096441582223e+01,2.301685635767833e+01,-3.311159620279580e-01,4.885482722532555e-01,4.355770926272481e-01,1.061253484367045e+00
-2.348860684034179e+01,2.662306266141501e+01,-2.617756055696665e+01,1.183742981992353e-01,-1.352774685916417e-01,-1.287822446343680e-01,1.599284078273589e+00
-1.861273238299379e+01,-2.101366579507119e+01,6.930872366022515e+00,3.350401096268760e-03,3.760208804150714e-01,-1.583982187800713e-01,1.566816310662225e+00
1.079469994515308e+01,2.658767279425186e+01,-2.999805997286126e+01,-4.958699662330437e-01,2.750439511899317e-01,7.942932013447968e-03,1.013181166729509e+00
-1.669530192482011e+00,-3.008436802752164e+01,4.241826958667398e+01,-1.065559855953904e-01,3.862182987008899e-01,1.485103841371470e-01,1.562328052503210e+00
3.711535380432946e+01,8.260418517861909e+00,1.272124744076659e+01,-3.613032414699251e-01,-1.483291227738771e-01,3.630937537350903e-01,1.757071057221420e+00
2.116957345075940e+01,-2.654843449917691e+01,-1.393723865570784e+01,-4.697674191689352e-01,2.041464189778995e-02,4.272478413718015e-01,1.533582981924332e+00
-1.084710660686253e+01,-2.358306187765938e+01,-4.015973152478718e+01,-4.906587796256511e-01,-4.680240894176423e-01,-1.996607368267085e-01,1.013471254153862e+00
3.049337629831827e+01,3.033179588186886e+01,-4.688540785167640e+01,-2.086098807843433e-01,-4.964236682671245e-01,4.493500134662847e-01,1.684834133686886e+00
3.924402424211419e+01,9.467987631891141e+00,-2.491303770494170e+01,2.645612007885066e-01,-3.180521264900771e-01,3.707437226352998e-01,1.903257959477258e+00
3.111887282497717e+00,2.385189657207028e+01,1.554958577455937e+01,-2.499878405614723e-01,4.681489844246264e-01,-4.833158487464777e-01,1.280244740322346e+00
-7.586382689220024e-01,4.410598087474197e+01,3.179699923947700e+01,3.849991475646051e-01,-2.872183858316206e-01,4.142270147855359e-01,1.894340367938550e+00
-2.597247013330582e+01,-2.902052378350534e+01,4.121562629967213e+01,-4.482226138422008e-01,-4.771515274808784e-01,4.344640438224296e-01,1.343167505386829e+00
-4.694130009337058e+01,3.836308013545733e+01,-4.742467231481978e+01,4.162194351887875e-01,-1.832554611714638e-02,-2.248361755842270e-01,1.680780635532355e+00
